row_id,org_raw,org_norm
1,xls,Xls
1,xls,Xls
4,teco pvr revenue,Teco Pvr Revenue
4,teco,Teco
4,teco,Teco
5,enron,Enron
8,enron,Enron
8,enron,Enron
8,noms,Noms
9,xls,Xls
9,xls,Xls
12,teco,Teco
12,enron,Enron
14,tenaska,Tenaska
16,vance l taylor / hou,Vance L Taylor Hou
16,nathan l hlavaty / hou,Nathan L Hlavaty Hou
16,lauri,Lauri
16,allen / hou,Allen Hou
16,enron,Enron
16,enron,Enron
16,"darron c
giron / hou",Darron C Giron Hou
16,hanks / hou,Hanks Hou
16,vance l taylor / hou,Vance L Taylor Hou
16,austin / hou / ees @ ees,Austin Hou Ees Ees
16,enron,Enron
16,enron,Enron
16,enron,Enron
16,"robert
walker / hou",Robert Walker Hou
16,enron,Enron
17,enron,Enron
17,enron,Enron
18,"mary
enron",Mary Enron
18,enron,Enron
19,magee - logistics,Magee - Logistics
20,enron,Enron
20,enron,Enron
20,enron,Enron
22,xls,Xls
22,xls,Xls
23,tenaska,Tenaska
25,enron,Enron
25,teco,Teco
25,enron,Enron
25,hanks @ enron,Hanks Enron
25,enron,Enron
25,enron,Enron
25,enron,Enron
25,enron / hpl actuals,Enron Hpl Actuals
25,k # 3949,K 3949
25,teco,Teco
25,enron,Enron
25,hanks @ enron,Hanks Enron
25,enron,Enron
25,enron,Enron
25,enron,Enron
25,enron / hpl actuals,Enron Hpl Actuals
25,teco,Teco
28,enron,Enron
28,enron,Enron
28,logitech,Logitech
28,enron,Enron
29,valero,Valero
29,8018 / sitara,8018 Sitara
29,valero,Valero
29,8018 / sitara,8018 Sitara
29,enron,Enron
29,valero,Valero
29,8018 / sitara,8018 Sitara
29,valero,Valero
30,megan parker / corp / enron,Megan Parker Corp Enron
30,the houston exploration company,The Houston Exploration Company
30,the houston exploration,The Houston Exploration
30,the houston exploration,The Houston Exploration
30,the houston exploration,The Houston Exploration
31,teco,Teco
32,enron corp,Enron Corp
32,the enron corp .,The Enron Corp
32,cst,Cst
32,vanguard lifestrategy,Vanguard Lifestrategy
32,cst,Cst
32,cst,Cst
32,cst,Cst
32,cst,Cst
32,enron,Enron
33,the texas gas group,The Texas Gas Group
34,1 & 2,1 & 2
34,k - 215,K - 215
36,enron,Enron
36,teco,Teco
36,texoma 20,Texoma 20
36,teco,Teco
36,teco,Teco
38,noms,Noms
38,ami chokshi / corp / enron,Ami Chokshi Corp Enron
